NOMEATLETA;NOMEESPORTE;MODALIDADE;MEDALHA
VAN DE VERRE, Auguste;Archery;Fixed Bird Target Small Bird, Teams;Gold
VAN MOER, Edmond;Archery;Fixed Bird Target Small Bird, Teams;Gold
HERMANS, Joseph;Archery;Fixed Bird Target Small Birds;Bronze
VAN MOER, Edmond;Archery;Fixed Bird Target Small Birds;Gold
VAN DE PERCK, Louis;Archery;Fixed Bird Target Small Birds;Silver
BRULE, Julien Louis;Archery;Moving Bird Target 28M Teams;Bronze
EPIN, L??on;Archery;Moving Bird Target 28M Teams;Bronze
FAUVEL, Pascal;Archery;Moving Bird Target 28M Teams;Bronze
GRISOT, EugÃ¨ne G.;Archery;Moving Bird Target 28M Teams;Bronze
LEROY, Paul;Archery;Moving Bird Target 28M Teams;Bronze
MABELLON, Artur;Archery;Moving Bird Target 28M Teams;Bronze
QUENTIN, L??once Gaston;Archery;Moving Bird Target 28M Teams;Bronze
RICHEZ, Eug??ne;Archery;Moving Bird Target 28M Teams;Bronze
DE BROUWER, Petrus Godefridus;Archery;Moving Bird Target 28M Teams;Gold
PACKBIERS, Jan Joseph;Archery;Moving Bird Target 28M Teams;Gold
THEEUWES, Adrianus Cornelis;Archery;Moving Bird Target 28M Teams;Gold
VAN BUSSELL, Hendrikus;Archery;Moving Bird Target 28M Teams;Gold
VAN GASTEL, Johannes Jacobus;Archery;Moving Bird Target 28M Teams;Gold
VAN GESTEL, Jan-Babtiest-Jozef;Archery;Moving Bird Target 28M Teams;Gold
VAN MERRIENBOER, Adrianus;Archery;Moving Bird Target 28M Teams;Gold
WILLEMS, Theodorus B.;Archery;Moving Bird Target 28M Teams;Gold
ALLAERT, Alphonse;Archery;Moving Bird Target 28M Teams;Silver
DE KNIBBER, Edmond;Archery;Moving Bird Target 28M Teams;Silver
DE MAYER, J??rome;Archery;Moving Bird Target 28M Teams;Silver
DELCON, Louis;Archery;Moving Bird Target 28M Teams;Silver
FIERENS, Louis;Archery;Moving Bird Target 28M Teams;Silver
VAN BEECK, Louis;Archery;Moving Bird Target 28M Teams;Silver
VAN INNIS, Hubert;Archery;Moving Bird Target 28M Teams;Silver
VAN THIELT, Pierre;Archery;Moving Bird Target 28M Teams;Silver
ALLAERT, Alphonse;Archery;Moving Bird Target 33M Teams;Gold
DE KNIBBER, Edmond;Archery;Moving Bird Target 33M Teams;Gold
DE MAYER, J??rome;Archery;Moving Bird Target 33M Teams;Gold
DELCON, Louis;Archery;Moving Bird Target 33M Teams;Gold
FIERENS, Louis;Archery;Moving Bird Target 33M Teams;Gold
VAN BEECK, Louis;Archery;Moving Bird Target 33M Teams;Gold
VAN INNIS, Hubert;Archery;Moving Bird Target 33M Teams;Gold
VAN THIELT, Pierre;Archery;Moving Bird Target 33M Teams;Gold
BRULE, Julien Louis;Archery;Moving Bird Target 33M Teams;Silver
EPIN, L??on;Archery;Moving Bird Target 33M Teams;Silver
FAUVEL, Pascal;Archery;Moving Bird Target 33M Teams;Silver
GRISOT, EugÃ¨ne G.;Archery;Moving Bird Target 33M Teams;Silver
LEROY, Paul;Archery;Moving Bird Target 33M Teams;Silver
MABELLON, Artur;Archery;Moving Bird Target 33M Teams;Silver
QUENTIN, L??once Gaston;Archery;Moving Bird Target 33M Teams;Silver
RICHEZ, Eug??ne;Archery;Moving Bird Target 33M Teams;Silver
ALLAERT, Alphonse;Archery;Moving Bird Target 50M Teams;Gold
DE KNIBBER, Edmond;Archery;Moving Bird Target 50M Teams;Gold
DE MAYER, J??rome;Archery;Moving Bird Target 50M Teams;Gold
DELCON, Louis;Archery;Moving Bird Target 50M Teams;Gold
FIERENS, Louis;Archery;Moving Bird Target 50M Teams;Gold
VAN BEECK, Louis;Archery;Moving Bird Target 50M Teams;Gold
VAN INNIS, Hubert;Archery;Moving Bird Target 50M Teams;Gold
VAN THIELT, Pierre;Archery;Moving Bird Target 50M Teams;Gold
BRULE, Julien Louis;Archery;Moving Bird Target 50M Teams;Silver
EPIN, L??on;Archery;Moving Bird Target 50M Teams;Silver
FAUVEL, Pascal;Archery;Moving Bird Target 50M Teams;Silver
GRISOT, EugÃ¨ne G.;Archery;Moving Bird Target 50M Teams;Silver
LEROY, Paul;Archery;Moving Bird Target 50M Teams;Silver
MABELLON, Artur;Archery;Moving Bird Target 50M Teams;Silver
QUENTIN, L??once Gaston;Archery;Moving Bird Target 50M Teams;Silver
RICHEZ, Eug??ne;Archery;Moving Bird Target 50M Teams;Silver
VAN INNIS, Hubert;Archery;Moving Bird Target, 28M;Gold
QUENTIN, L??once Gaston;Archery;Moving Bird Target, 28M;Silver
VAN INNIS, Hubert;Archery;Moving Bird Target, 33M;Gold
BRULE, Julien Louis;Archery;Moving Bird Target, 33M;Silver
BRULE, Julien Louis;Archery;Moving Bird Target, 50M;Gold
VAN INNIS, Hubert;Archery;Moving Bird Target, 50M;Silver
WILSON, James;Athletics;10000M;Bronze
NURMI, Paavo;Athletics;10000M;Gold
GUILLEMOT, Joseph;Athletics;10000M;Silver
GUNN, Charles;Athletics;10000M Walk;Bronze
FRIGERIO, Ugo;Athletics;10000M Walk;Gold
PEARMAN, Joseph;Athletics;10000M Walk;Silver
EDWARD, Harry;Athletics;100M;Bronze
PADDOCK, Charles;Athletics;100M;Gold
KIRKSEY, Morris;Athletics;100M;Silver
MURRAY, Frederick;Athletics;110M Hurdles;Bronze
THOMSON, Earl;Athletics;110M Hurdles;Gold
BARRON, Harold;Athletics;110M Hurdles;Silver
SHIELDS, Marion Lawrence;Athletics;1500M;Bronze
HILL, Albert;Athletics;1500M;Gold
NOEL-BAKER, Philipp John;Athletics;1500M;Silver
EDWARD, Harry;Athletics;200M;Bronze
WOODRING, Allen;Athletics;200M;Gold
PADDOCK, Charles;Athletics;200M;Silver
AMBROSINI, Ernesto;Athletics;3000M Steeplechase;Bronze
HODGE, Percy;Athletics;3000M Steeplechase;Gold
FLYNN, Patrick;Athletics;3000M Steeplechase;Silver
BACKMAN, Erik;Athletics;3000M Team;Bronze
LUNDGREN, Sven;Athletics;3000M Team;Bronze
WIDE, Edvin;Athletics;3000M Team;Bronze
BROWN, Horace Hallock;Athletics;3000M Team;Gold
DRESSER, Ivan;Athletics;3000M Team;Gold
SCHARDT, Arlie Alfred;Athletics;3000M Team;Gold
BLEWITT, Charles Edward;Athletics;3000M Team;Silver
HILL, Albert;Athletics;3000M Team;Silver
SEAGROVE, William Raymond;Athletics;3000M Team;Silver
REMER, Richard Frederick;Athletics;3000M Walk;Bronze
FRIGERIO, Ugo;Athletics;3000M Walk;Gold
PARKER, George;Athletics;3000M Walk;Silver
ENGDAHL, Nils;Athletics;400M;Bronze
RUDD, Bevil Gordon D'Urban;Athletics;400M;Gold
BUTLER, Guy Montagu;Athletics;400M;Silver
DESCH, August George;Athletics;400M Hurdles;Bronze
LOOMIS, Frank;Athletics;400M Hurdles;Gold
NORTON, John Kelley;Athletics;400M Hurdles;Silver
HOLMSTRÖM, Agne;Athletics;4X100M Relay;Bronze
MALM, Sven;Athletics;4X100M Relay;Bronze
PETERSSON, R. William E.;Athletics;4X100M Relay;Bronze
SANDSTRÖM, Nils;Athletics;4X100M Relay;Bronze
KIRKSEY, Morris;Athletics;4X100M Relay;Gold
MURCHISON, Loren;Athletics;4X100M Relay;Gold
PADDOCK, Charles;Athletics;4X100M Relay;Gold
SCHOLZ, Jackson;Athletics;4X100M Relay;Gold
ALI KAHN, Emile;Athletics;4X100M Relay;Silver
LORAIN, Ren??;Athletics;4X100M Relay;Silver
MOURLON, Ren??;Athletics;4X100M Relay;Silver
TIRARD, Ren??;Athletics;4X100M Relay;Silver
ANDRE, Georges;Athletics;4X400M Relay;Bronze
DELVART, Maurice;Athletics;4X400M Relay;Bronze
DEVAUX, Jean Andr??;Athletics;4X400M Relay;Bronze
FERY, Gaston;Athletics;4X400M Relay;Bronze
AINSWORTH-DAVIS, John Creyghton;Athletics;4X400M Relay;Gold
BUTLER, Guy Montagu;Athletics;4X400M Relay;Gold
GRIFFITHS, Cecil Richmond;Athletics;4X400M Relay;Gold
LINDSAY, Robert Alexander;Athletics;4X400M Relay;Gold
DAVEL, Harry;Athletics;4X400M Relay;Silver
OLDFIELD, Clarence Winston;Athletics;4X400M Relay;Silver
OOSTERLAAK, Jack;Athletics;4X400M Relay;Silver
RUDD, Bevil Gordon D'Urban;Athletics;4X400M Relay;Silver
BACKMAN, Erik;Athletics;5000M;Bronze
GUILLEMOT, Joseph;Athletics;5000M;Gold
NURMI, Paavo;Athletics;5000M;Silver
LIND, Carl Johan;Athletics;56LB Weight Throw (25.4KG);Bronze
MCDONALD, Patrick;Athletics;56LB Weight Throw (25.4KG);Gold
RYAN, Patrick;Athletics;56LB Weight Throw (25.4KG);Silver
RUDD, Bevil Gordon D'Urban;Athletics;800M;Bronze
HILL, Albert;Athletics;800M;Gold
EBY, Earl;Athletics;800M;Silver
LIIMATAINEN, Heikki;Athletics;Cross Country Individual;Bronze
NURMI, Paavo;Athletics;Cross Country Individual;Gold
BACKMAN, Erik;Athletics;Cross Country Individual;Silver
BACKMAN, Erik;Athletics;Cross Country Team;Bronze
EKMAN, Hilding;Athletics;Cross Country Team;Bronze
MATTSSON, Gustaf;Athletics;Cross Country Team;Bronze
KOSKENNIEMI, Frederik Teudor;Athletics;Cross Country Team;Gold
LIIMATAINEN, Heikki;Athletics;Cross Country Team;Gold
NURMI, Paavo;Athletics;Cross Country Team;Gold
HEGARTY, Frank;Athletics;Cross Country Team;Silver
NICHOLS, Alfred Hubert;Athletics;Cross Country Team;Silver
WILSON, James;Athletics;Cross Country Team;Silver
OHLSON, Bertil;Athletics;Decathlon;Bronze
LÖVLAND, Helge Andreas;Athletics;Decathlon;Gold
HAMILTON, Brutus Kerr;Athletics;Decathlon;Silver
POPE, Augustus;Athletics;Discus Throw;Bronze
NIKLANDER, Elmer Konstantin;Athletics;Discus Throw;Gold
TAIPALE, Armas Rudolf;Athletics;Discus Throw;Silver
BENNET, Basil;Athletics;Hammer Throw;Bronze
RYAN, Patrick;Athletics;Hammer Throw;Gold
LIND, Carl Johan;Athletics;Hammer Throw;Silver
EKELUND, Bo;Athletics;High Jump;Bronze
LANDON, Richmond;Athletics;High Jump;Gold
MULLER, Harold;Athletics;High Jump;Silver
JAALE-JOHANSSON, Paavo;Athletics;Javelin Throw;Bronze
MYYR�, Jonni;Athletics;Javelin Throw;Gold
PELTONEN, Urho Pellervo;Athletics;Javelin Throw;Silver
ABRAHAMSSON, Erik;Athletics;Long Jump;Bronze
PETERSSON, R. William E.;Athletics;Long Jump;Gold
JOHNSON, Carl;Athletics;Long Jump;Silver
ARRI, Valerio;Athletics;Marathon;Bronze
KOLEHMAINEN, Hannes;Athletics;Marathon;Gold
LOSSMANN, J??ri;Athletics;Marathon;Silver
LAHTINEN, Hugo Jalmari;Athletics;Pentathlon;Bronze
LEHTONEN, Eero Reino;Athletics;Pentathlon;Gold
BRADLEY, Everett Lewis;Athletics;Pentathlon;Silver
MYERS, Edwin;Athletics;Pole Vault;Bronze
FOSS, Frank;Athletics;Pole Vault;Gold
PETERSEN, Henry;Athletics;Pole Vault;Silver
LIVERSEDGE, Harry;Athletics;Shot Put;Bronze
PÖRHÖL�, Frans Wilhelmi;Athletics;Shot Put;Gold
NIKLANDER, Elmer Konstantin;Athletics;Shot Put;Silver
ALMLÖF, Erik;Athletics;Triple Jump;Bronze
TUULOS, Vilho Immanuel;Athletics;Triple Jump;Gold
JANSSON, Folke;Athletics;Triple Jump;Silver
CUTHBERTSON, William;Boxing;- 50.8KG (Flyweight);Bronze
DI GENARO, Frank;Boxing;- 50.8KG (Flyweight);Gold
PETERSEN, Anders;Boxing;- 50.8KG (Flyweight);Silver
ELUERE, Albert Xavier;Boxing;+ 79.38KG (Heavyweight);Bronze
RAWSON, Ronald;Boxing;+ 79.38KG (Heavyweight);Gold
PETEERSEN, S??ren;Boxing;+ 79.38KG (Heavyweight);Silver
MCKENZIE, James;Boxing;50.8 - 53.52KG (Bantamweight);Bronze
WALKER, Clarence Leonard;Boxing;50.8 - 53.52KG (Bantamweight);Gold
GRAHAM, Clifford John;Boxing;50.8 - 53.52KG (Bantamweight);Silver
GARZENA, Edoardo;Boxing;53.52 - 57.15KG (Featherweight);Bronze
FRITSCH, Paul;Boxing;53.52 - 57.15KG (Featherweight);Gold
GACHET, Jean;Boxing;53.52 - 57.15KG (Featherweight);Silver
NEWTON, Clarence;Boxing;57.15 - 61.24KG (Lightweight);Bronze
MOSBERG, Samuel;Boxing;57.15 - 61.24KG (Lightweight);Gold
JOHANSEN, Gotfred;Boxing;57.15 - 61.24KG (Lightweight);Silver
COLBERG, Frederick William;Boxing;61.24 - 66.68KG (Welterweight);Bronze
SCHNEIDER, Julius Gustav Albert;Boxing;61.24 - 66.68KG (Welterweight);Gold
IRELAND, Alexander;Boxing;61.24 - 66.68KG (Welterweight);Silver
HERSCOVITCH, Montgomery Hart;Boxing;66.68 - 72.57KG (Middleweight);Bronze
MALLIN, Harry William;Boxing;66.68 - 72.57KG (Middleweight);Gold
PRUD'HOMME, George Arthur;Boxing;66.68 - 72.57KG (Middleweight);Silver
FRANKS, Harold;Boxing;72.57 - 79.38KG (Light-Heavyweight);Bronze
EAGAN, Edward;Boxing;72.57 - 79.38KG (Light-Heavyweight);Gold
SÖRSDAL, Sverre;Boxing;72.57 - 79.38KG (Light-Heavyweight);Silver
CANTELOUBE, Fernand;Cycling Road;Individual Time Trial;Bronze
STENQVIST, Harry;Cycling Road;Individual Time Trial;Gold
KALTENBRUN, Henry Justaves;Cycling Road;Individual Time Trial;Silver
DE BUINNE, Albert;Cycling Road;Team Time Trial;Bronze
JANSSENS, Jean;Cycling Road;Team Time Trial;Bronze
VERCRUYSSE, Andr??;Cycling Road;Team Time Trial;Bronze
WYCKMANS, Albert;Cycling Road;Team Time Trial;Bronze
CANTELOUBE, Fernand;Cycling Road;Team Time Trial;Gold
DETREILLE, Georges;Cycling Road;Team Time Trial;Gold
GOBILLOT, Marcel;Cycling Road;Team Time Trial;Gold
SOUCHARD, Achille;Cycling Road;Team Time Trial;Gold
LUNDBERG, Sigfrid;Cycling Road;Team Time Trial;Silver
MALM, Ragnar;Cycling Road;Team Time Trial;Silver
PERSSON, Axel Wilhelm;Cycling Road;Team Time Trial;Silver
STENQVIST, Harry;Cycling Road;Team Time Trial;Silver
DE VRENG, Frans;Cycling Track;2000M Tandem;Bronze
IKELAAR, Petrus Gerardus;Cycling Track;2000M Tandem;Bronze
LANCE, Thomas Glasson;Cycling Track;2000M Tandem;Gold
RYAN, Harry Edgar;Cycling Track;2000M Tandem;Gold
SMITH, William R.;Cycling Track;2000M Tandem;Silver
WALKER, James R.;Cycling Track;2000M Tandem;Silver
IKELAAR, Petrus Gerardus;Cycling Track;50KM;Bronze
GEORGE, Henry;Cycling Track;50KM;Gold
ALDEN, Cyril Albert;Cycling Track;50KM;Silver
RYAN, Harry Edgar;Cycling Track;Sprint Indivual;Bronze
PEETERS, Mauritius;Cycling Track;Sprint Indivual;Gold
JOHNSON, Horace Thomas;Cycling Track;Sprint Indivual;Silver
GOOSEN, Harry W.;Cycling Track;Team Pursuit (4000M);Bronze
KALTENBRUN, Henry Justaves;Cycling Track;Team Pursuit (4000M);Bronze
SMITH, William R.;Cycling Track;Team Pursuit (4000M);Bronze
WALKER, James R.;Cycling Track;Team Pursuit (4000M);Bronze
CARLI, Arnaldo;Cycling Track;Team Pursuit (4000M);Gold
FERRARIO, Ruggero;Cycling Track;Team Pursuit (4000M);Gold
GIORGETTI, Franco;Cycling Track;Team Pursuit (4000M);Gold
MAGNANI, Primo;Cycling Track;Team Pursuit (4000M);Gold
ALDEN, Cyril Albert;Cycling Track;Team Pursuit (4000M);Silver
JOHNSON, Horace Thomas;Cycling Track;Team Pursuit (4000M);Silver
STEWART, William George;Cycling Track;Team Pursuit (4000M);Silver
WHITE, Albert;Cycling Track;Team Pursuit (4000M);Silver
LUNDBLAD, Janne;Dressage;Individual;Gold
BONVALET, Jules;Eventing;Team;Bronze
LINTS, Oswald G. H.;Eventing;Team;Bronze
MISONNE, Jacques;Eventing;Team;Bronze
MOEREMANS D'EMAUS, Roger;Eventing;Team;Bronze
DYRSCH, Gustaf;Eventing;Team;Gold
LUNDSTRÖM, Age;Eventing;Team;Gold
MÖRNER, Helmer;Eventing;Team;Gold
VON BRAUN, Georg;Eventing;Team;Gold
ASINARI, Carlo;Eventing;Team;Silver
CACCIANDRA, Giulio;Eventing;Team;Silver
CAFFARATTI, Ettore;Eventing;Team;Silver
SPIGHI, Garibaldi;Eventing;Team;Silver
LEWENHAUPT, Carl Gustaf;Jumping;Individual;Bronze
LEQUIO DI ASSABA, Tommaso;Jumping;Individual;Gold
VALERIO, Alessandro;Jumping;Individual;Silver
ALVISI, Alessandro;Jumping;Team;Bronze
CACCIANDRA, Giulio;Jumping;Team;Bronze
CAFFARATTI, Ettore;Jumping;Team;Bronze
SPIGHI, Garibaldi;Jumping;Team;Bronze
DE KÖNIG, Claës;Jumping;Team;Gold
MARTIN, Frank;Jumping;Team;Gold
NORLING, Lars Daniel;Jumping;Team;Gold
VON ROSEN, Hans;Jumping;Team;Gold
COUMANS, Andr??;Jumping;Team;Silver
DE BRIE, Thierry;Jumping;Team;Silver
DE GAIFFIER D'HESTROY, Hermann;Jumping;Team;Silver
D'OULTROMENT, Herman;Jumping;Team;Silver
FINET, T.;Vaulting;Figure Riding Individual;Bronze
BOUCKAERT, T.;Vaulting;Figure Riding Individual;Gold
FIELD;Vaulting;Figure Riding Individual;Silver
GREEN, Carl;Vaulting;Figure Riding Team;Bronze
M�RTENSSON, Anders;Vaulting;Figure Riding Team;Bronze
NILSSON, Oskar;Vaulting;Figure Riding Team;Bronze
BOUCKAERT, T.;Vaulting;Figure Riding Team;Gold
FINET, T.;Vaulting;Figure Riding Team;Gold
VAN CAUWENBERG;Vaulting;Figure Riding Team;Gold
VAN RANST;Vaulting;Figure Riding Team;Gold
VAN SCHAUWBROECK;Vaulting;Figure Riding Team;Gold
CAUCHY;Vaulting;Figure Riding Team;Silver
FIELD;Vaulting;Figure Riding Team;Silver
SALINS;Vaulting;Figure Riding Team;Silver
BUCHARD, Gustave;Fencing;  Individual;Bronze
MASSARD, Armand;Fencing;  Individual;Gold
LIPPMANN, Alexandre;Fencing;  Individual;Silver
AMSON, Gaston;Fencing;  Team;Bronze
BUCHARD, Gustave;Fencing;  Team;Bronze
CASANOVA, Georges;Fencing;  Team;Bronze
LIPPMANN, Alexandre;Fencing;  Team;Bronze
MASSARD, Armand;Fencing;  Team;Bronze
MOREAU, Emile;Fencing;  Team;Bronze
TROMBERT, Georges;Fencing;  Team;Bronze
ABELARDO, Olivier;Fencing;  Team;Gold
ALLOCHIO, Antonio;Fencing;  Team;Gold
BOZZA, Tullio;Fencing;  Team;Gold
CANOVA, Giovanni;Fencing;  Team;Gold
CONSTANTINO, Tommaso;Fencing;  Team;Gold
MARRAZZI, Andrea;Fencing;  Team;Gold
NADI, Aldo;Fencing;  Team;Gold
NADI, Nedo;Fencing;  Team;Gold
THAON DI REVEL, Paolo;Fencing;  Team;Gold
URBANI, Dino;Fencing;  Team;Gold
ANSPACH, Paul;Fencing;  Team;Silver
BOIN, Victor;Fencing;  Team;Silver
DE CRAECKER, Joseph;Fencing;  Team;Silver
DE MONTIGNY, Fernand;Fencing;  Team;Silver
DE WEE, Maurice;Fencing;  Team;Silver
GEVERS, Ernest;Fencing;  Team;Silver
GOBLET D'AVIELLA, Flix;Fencing;  Team;Silver
LE HARDY DE BEAULIEU, Philippe;Fencing;  Team;Silver
TOM, Lon;Fencing;  Team;Silver
DUCRET, Roger Fran??ois;Fencing;Foil Individual;Bronze
NADI, Nedo;Fencing;Foil Individual;Gold
CATTIAU, Philippe;Fencing;Foil Individual;Silver
BRECKINRIDGE, Henry Cabell;Fencing;Foil Team;Bronze
HONEYCUTT, Francis Webster;Fencing;Foil Team;Bronze
LYON, Arthur St Clair;Fencing;Foil Team;Bronze
RAYNER, Harold;Fencing;Foil Team;Bronze
SEARS, Robert;Fencing;Foil Team;Bronze
ABELARDO, Olivier;Fencing;Foil Team;Gold
BALDI, Baldo;Fencing;Foil Team;Gold
CONSTANTINO, Tommaso;Fencing;Foil Team;Gold
NADI, Aldo;Fencing;Foil Team;Gold
NADI, Nedo;Fencing;Foil Team;Gold
PULITI, Oreste;Fencing;Foil Team;Gold
SPECIALE, Pietro;Fencing;Foil Team;Gold
TERLIZZI, Rodolfo;Fencing;Foil Team;Gold
AMSON, Gaston;Fencing;Foil Team;Silver
BONY DE CASTELLANE, Lionel;Fencing;Foil Team;Silver
CATTIAU, Philippe;Fencing;Foil Team;Silver
DUCRET, Roger Fran??ois;Fencing;Foil Team;Silver
GAUDIN, Lucien;Fencing;Foil Team;Silver
LABATTUT, Andr??;Fencing;Foil Team;Silver
PERROT, Marcel;Fencing;Foil Team;Silver
TROMBERT, Georges;Fencing;Foil Team;Silver
DE JONG, Adrianus Egbertus Willem;Fencing;Sabre Individual;Bronze
NADI, Nedo;Fencing;Sabre Individual;Gold
NADI, Aldo;Fencing;Sabre Individual;Silver
DE JONG, Adrianus Egbertus Willem;Fencing;Sabre Team;Bronze
DELAUNOY, Louis Albert Armand Etienne;Fencing;Sabre Team;Bronze
DOORMAN, Jetze;Fencing;Sabre Team;Bronze
VAN BLIJENBURGH, Willem Peter Hubert;Fencing;Sabre Team;Bronze
VAN DER WIEL, Jan;Fencing;Sabre Team;Bronze
ZELDENRUST, Salomon;Fencing;Sabre Team;Bronze
BALDI, Baldo;Fencing;Sabre Team;Gold
CESERANO, Frederico Secondo;Fencing;Sabre Team;Gold
GARGANO, Francesco;Fencing;Sabre Team;Gold
NADI, Aldo;Fencing;Sabre Team;Gold
NADI, Nedo;Fencing;Sabre Team;Gold
PULITI, Oreste;Fencing;Sabre Team;Gold
SANTELLI, Italo;Fencing;Sabre Team;Gold
URBANI, Dino;Fencing;Sabre Team;Gold
DE SAINT GERMAIN, Henri Marie Raoul;Fencing;Sabre Team;Silver
LACROIX, Jean Andr??;Fencing;Sabre Team;Silver
MARGRAFF, Jean;Fencing;Sabre Team;Silver
MONDIELLI, Jean;Fencing;Sabre Team;Silver
PERRODON, Marc Marie Jean;Fencing;Sabre Team;Silver
TROMBERT, Georges;Fencing;Sabre Team;Silver
BIESHAAR, Adrianus Gerardus;Football;Football;Bronze
BOSSCHART, L??onard Fran??ois G??rard;Football;Football;Bronze
BULDER, Evert Jan;Football;Football;Bronze
BULDER, Jacob Eise;Football;Football;Bronze
DE NATRIS, Johannes Daniel;Football;Football;Bronze
DENIS, Henri L??onard Barth??l??mi;Football;Football;Bronze
GROOSJOHAN, Bernardus;Football;Football;Bronze
KUIPERS, Frederik Carel;Football;Football;Bronze
MACNEILL, Richard;Football;Football;Bronze
STEEMAN, Hermanus Hendricus;Football;Football;Bronze
VAN DORT, Jan Leendert;Football;Football;Bronze
VAN RAPPARD, Oscar Emile;Football;Football;Bronze
VERWEIJ, Bernard Willem Jan;Football;Football;Bronze
VON HEYDEN, Herman Carel Felix Clothilde;Football;Football;Bronze
BALYU, F??lix;Football;Football;Gold
BASTIN, D??sir??;Football;Football;Gold
BRAGARD, Mathieu;Football;Football;Gold
COPPEE, Robert;Football;Football;Gold
DE BIE, Jan;Football;Football;Gold
FIERENS, Andr??;Football;Football;Gold
HANSE, Emile;Football;Football;Gold
HEBDIN, Georges;Football;Football;Gold
LARNOE, Henri;Football;Football;Gold
MUSCH, Joseph;Football;Football;Gold
NISOT, Fernand;Football;Football;Gold
SWARTENBROEKS, Armand;Football;Football;Gold
VAN HEGE, Louis;Football;Football;Gold
VERBEECK, Oscar;Football;Football;Gold
ACEDO, Domingo;Football;Football;Silver
ARABOLAZA, Patricio;Football;Football;Silver
ARRATE, Mariano;Football;Football;Silver
ARTOLA, Juan;Football;Football;Silver
BELAUTEGUIGOITIA LANDALUCE, Jose;Football;Football;Silver
BILBAO, Sabino;Football;Football;Silver
EQUIAZABAL, Ramon;Football;Football;Silver
GIL, Ramon Moncho;Football;Football;Silver
IZAGUIRRE, Silverio;Football;Football;Silver
MORENO, Rafael;Football;Football;Silver
OTERO, Luis;Football;Football;Silver
PAGAZAURTUNDUO, Francisco;Football;Football;Silver
SAMITIER VILALTA, Jos??;Football;Football;Silver
SANCHO, Agustin;Football;Football;Silver
SESUMAGA, F??lix;Football;Football;Silver
VALLANA JEANGUENAT, Pedro;Football;Football;Silver
